age_band,sex,vehicle_age,engine_capacity,score
 5, 2,  9,  8, 34.0000000000
 6, 1,  0,  0, 39.0000000000
 6, 1,  0,  1, 39.0000000000
 6, 1,  0,  2, 39.0000000000
 6, 1,  0,  3, 39.0000000000
 6, 1,  0,  4, 39.0000000000
 6, 1,  0,  5, 39.0000000000
 6, 1,  0,  6, 39.0000000000
 6, 1,  0,  7, 42.0000000000
 6, 1,  0,  8, 46.0000000000
 6, 1,  1,  0, 39.0000000000
 6, 1,  1,  1, 39.0000000000
 6, 1,  1,  2, 39.0000000000
 6, 1,  1,  3, 39.0000000000
 6, 1,  1,  4, 39.0000000000
 6, 1,  1,  5, 39.0000000000
 6, 1,  1,  6, 39.0000000000
 6, 1,  1,  7, 42.0000000000
 6, 1,  1,  8, 46.0000000000
 6, 1,  2,  0, 39.0000000000
 6, 1,  2,  1, 39.0000000000
 6, 1,  2,  2, 39.0000000000
 6, 1,  2,  3, 29.0000000000
 6, 1,  2,  4, 39.0000000000
 6, 1,  2,  5, 39.0000000000
 6, 1,  2,  6, 39.0000000000
 6, 1,  2,  7, 42.0000000000
 6, 1,  2,  8, 46.0000000000
 6, 1,  3,  0, 39.0000000000
 6, 1,  3,  1, 39.0000000000
 6, 1,  3,  2, 39.0000000000
 6, 1,  3,  3, 39.0000000000
 6, 1,  3,  4, 39.0000000000
 6, 1,  3,  5, 39.0000000000
 6, 1,  3,  6, 39.0000000000
 6, 1,  3,  7, 42.0000000000
 6, 1,  3,  8, 46.0000000000
 6, 1,  4,  0, 39.0000000000
 6, 1,  4,  1, 39.0000000000
 6, 1,  4,  2, 39.0000000000
 6, 1,  4,  3, 39.0000000000
 6, 1,  4,  4, 39.0000000000
 6, 1,  4,  5, 39.0000000000
 6, 1,  4,  6, 39.0000000000
 6, 1,  4,  7, 42.0000000000
 6, 1,  4,  8, 46.0000000000
 6, 1,  5,  0, 39.0000000000
 6, 1,  5,  1, 39.0000000000
 6, 1,  5,  2, 39.0000000000
 6, 1,  5,  3, 39.0000000000
 6, 1,  5,  4, 39.0000000000
 6, 1,  5,  5, 39.0000000000
 6, 1,  5,  6, 39.0000000000
 6, 1,  5,  7, 42.0000000000
 6, 1,  5,  8, 46.0000000000
 6, 1,  6,  0, 39.0000000000
 6, 1,  6,  1, 39.0000000000
 6, 1,  6,  2, 39.0000000000
 6, 1,  6,  3, 39.0000000000
 6, 1,  6,  4, 39.0000000000
 6, 1,  6,  5, 39.0000000000
 6, 1,  6,  6, 39.0000000000
 6, 1,  6,  7, 42.0000000000
 6, 1,  6,  8, 46.0000000000
 6, 1,  7,  0, 39.0000000000
 6, 1,  7,  1, 39.0000000000
 6, 1,  7,  2, 39.0000000000
 6, 1,  7,  3, 39.0000000000
 6, 1,  7,  4, 39.0000000000
 6, 1,  7,  5, 39.0000000000
 6, 1,  7,  6, 39.0000000000
 6, 1,  7,  7, 42.0000000000
 6, 1,  7,  8, 46.0000000000
 6, 1,  8,  0, 39.0000000000
 6, 1,  8,  1, 39.0000000000
 6, 1,  8,  2, 39.0000000000
 6, 1,  8,  3, 39.0000000000
 6, 1,  8,  4, 39.0000000000
 6, 1,  8,  5, 39.0000000000
 6, 1,  8,  6, 39.0000000000
 6, 1,  8,  7, 42.0000000000
 6, 1,  8,  8, 46.0000000000
 6, 1,  9,  0, 39.0000000000
 6, 1,  9,  1, 39.0000000000
 6, 1,  9,  2, 39.0000000000
 6, 1,  9,  3, 39.0000000000
 6, 1,  9,  4, 39.0000000000
 6, 1,  9,  5, 39.0000000000
 6, 1,  9,  6, 39.0000000000
 6, 1,  9,  7, 42.0000000000
 6, 1,  9,  8, 46.0000000000
 6, 2,  0,  0, 29.0000000000
 6, 2,  0,  1, 29.0000000000
 6, 2,  0,  2, 29.0000000000
 6, 2,  0,  3, 29.0000000000
 6, 2,  0,  4, 29.0000000000
 6, 2,  0,  5, 29.0000000000
 6, 2,  0,  6, 29.0000000000
 6, 2,  0,  7, 29.0000000000
 6, 2,  0,  8, 32.0000000000
 6, 2,  1,  0, 29.0000000000
 6, 2,  1,  1, 29.0000000000
 6, 2,  1,  2, 29.0000000000
 6, 2,  1,  3, 29.0000000000
 6, 2,  1,  4, 29.0000000000
 6, 2,  1,  5, 29.0000000000
 6, 2,  1,  6, 29.0000000000
 6, 2,  1,  7, 29.0000000000
 6, 2,  1,  8, 32.0000000000
 6, 2,  2,  0, 29.0000000000
 6, 2,  2,  1, 29.0000000000
 6, 2,  2,  2, 29.0000000000
 6, 2,  2,  3, 29.0000000000
 6, 2,  2,  4, 29.0000000000
 6, 2,  2,  5, 29.0000000000
 6, 2,  2,  6, 29.0000000000
 6, 2,  2,  7, 29.0000000000
 6, 2,  2,  8, 32.0000000000
 6, 2,  3,  0, 29.0000000000
 6, 2,  3,  1, 29.0000000000
 6, 2,  3,  2, 29.0000000000
 6, 2,  3,  3, 29.0000000000
 6, 2,  3,  4, 29.0000000000
 6, 2,  3,  5, 29.0000000000
 6, 2,  3,  6, 29.0000000000
 6, 2,  3,  7, 29.0000000000
 6, 2,  3,  8, 32.0000000000
 6, 2,  4,  0, 29.0000000000
 6, 2,  4,  1, 29.0000000000
 6, 2,  4,  2, 29.0000000000
 6, 2,  4,  3, 29.0000000000
 6, 2,  4,  4, 29.0000000000
 6, 2,  4,  5, 29.0000000000
 6, 2,  4,  6, 29.0000000000
 6, 2,  4,  7, 29.0000000000
 6, 2,  4,  8, 32.0000000000
 6, 2,  5,  0, 29.0000000000
 6, 2,  5,  1, 29.0000000000
 6, 2,  5,  2, 29.0000000000
 6, 2,  5,  3, 29.0000000000
 6, 2,  5,  4, 29.0000000000
 6, 2,  5,  5, 29.0000000000
 6, 2,  5,  6, 29.0000000000
 6, 2,  5,  7, 29.0000000000
 6, 2,  5,  8, 32.0000000000
 6, 2,  6,  0, 29.0000000000
 6, 2,  6,  1, 29.0000000000
 6, 2,  6,  2, 29.0000000000
 6, 2,  6,  3, 29.0000000000
 6, 2,  6,  4, 29.0000000000
 6, 2,  6,  5, 29.0000000000
 6, 2,  6,  6, 29.0000000000
 6, 2,  6,  7, 29.0000000000
 6, 2,  6,  8, 32.0000000000
 6, 2,  7,  0, 29.0000000000
 6, 2,  7,  1, 29.0000000000
 6, 2,  7,  2, 29.0000000000
 6, 2,  7,  3, 29.0000000000
 6, 2,  7,  4, 29.0000000000
 6, 2,  7,  5, 29.0000000000
 6, 2,  7,  6, 29.0000000000
 6, 2,  7,  7, 29.0000000000
 6, 2,  7,  8, 32.0000000000
 6, 2,  8,  0, 29.0000000000
 6, 2,  8,  1, 29.0000000000
 6, 2,  8,  2, 29.0000000000
 6, 2,  8,  3, 29.0000000000
 6, 2,  8,  4, 29.0000000000
 6, 2,  8,  5, 29.0000000000
 6, 2,  8,  6, 29.0000000000
 6, 2,  8,  7, 29.0000000000
 6, 2,  8,  8, 32.0000000000
 6, 2,  9,  0, 29.0000000000
 6, 2,  9,  1, 29.0000000000
 6, 2,  9,  2, 29.0000000000
 6, 2,  9,  3, 29.0000000000
 6, 2,  9,  4, 29.0000000000
 6, 2,  9,  5, 29.0000000000
 6, 2,  9,  6, 29.0000000000
 6, 2,  9,  7, 29.0000000000
 6, 2,  9,  8, 32.0000000000
 7, 1,  0,  0, 35.0000000000
 7, 1,  0,  1, 35.0000000000
 7, 1,  0,  2, 35.0000000000
 7, 1,  0,  3, 35.0000000000
 7, 1,  0,  4, 35.0000000000
 7, 1,  0,  5, 35.0000000000
 7, 1,  0,  6, 35.0000000000
 7, 1,  0,  7, 38.0000000000
 7, 1,  0,  8, 61.0000000000
 7, 1,  1,  0, 35.0000000000
 7, 1,  1,  1, 35.0000000000
 7, 1,  1,  2, 35.0000000000
 7, 1,  1,  3, 35.0000000000
 7, 1,  1,  4, 35.0000000000
 7, 1,  1,  5, 35.0000000000
 7, 1,  1,  6, 35.0000000000
 7, 1,  1,  7, 38.0000000000
 7, 1,  1,  8, 40.0000000000
 7, 1,  2,  0, 35.0000000000
 7, 1,  2,  1, 35.0000000000
 7, 1,  2,  2, 35.0000000000
 7, 1,  2,  3, 35.0000000000
 7, 1,  2,  4, 35.0000000000
 7, 1,  2,  5, 35.0000000000
 7, 1,  2,  6, 35.0000000000
 7, 1,  2,  7, 38.0000000000
 7, 1,  2,  8, 40.0000000000
 7, 1,  3,  0, 35.0000000000
 7, 1,  3,  1, 35.0000000000
 7, 1,  3,  2, 35.0000000000
 7, 1,  3,  3, 35.0000000000
 7, 1,  3,  4, 35.0000000000
 7, 1,  3,  5, 35.0000000000
 7, 1,  3,  6, 35.0000000000
 7, 1,  3,  7, 38.0000000000
 7, 1,  3,  8, 40.0000000000
 7, 1,  4,  0, 35.0000000000
 7, 1,  4,  1, 35.0000000000
 7, 1,  4,  2, 35.0000000000
 7, 1,  4,  3, 35.0000000000
 7, 1,  4,  4, 35.0000000000
 7, 1,  4,  5, 35.0000000000
 7, 1,  4,  6, 35.0000000000
 7, 1,  4,  7, 38.0000000000
 7, 1,  4,  8, 40.0000000000
 7, 1,  5,  0, 35.0000000000
 7, 1,  5,  1, 35.0000000000
 7, 1,  5,  2, 35.0000000000
 7, 1,  5,  3, 35.0000000000
 7, 1,  5,  4, 35.0000000000
 7, 1,  5,  5, 35.0000000000
 7, 1,  5,  6, 35.0000000000
 7, 1,  5,  7, 38.0000000000
 7, 1,  5,  8, 40.0000000000
 7, 1,  6,  0, 35.0000000000
 7, 1,  6,  1, 35.0000000000
 7, 1,  6,  2, 35.0000000000
 7, 1,  6,  3, 35.0000000000
 7, 1,  6,  4, 35.0000000000
 7, 1,  6,  5, 35.0000000000
 7, 1,  6,  6, 35.0000000000
 7, 1,  6,  7, 38.0000000000
 7, 1,  6,  8, 40.0000000000
 7, 1,  7,  0, 35.0000000000
 7, 1,  7,  1, 35.0000000000
 7, 1,  7,  2, 35.0000000000
 7, 1,  7,  3, 35.0000000000
 7, 1,  7,  4, 35.0000000000
 7, 1,  7,  5, 35.0000000000
 7, 1,  7,  6, 35.0000000000
 7, 1,  7,  7, 38.0000000000
 7, 1,  7,  8, 40.0000000000
 7, 1,  8,  0, 35.0000000000
 7, 1,  8,  1, 35.0000000000
 7, 1,  8,  2, 35.0000000000
 7, 1,  8,  3, 35.0000000000
 7, 1,  8,  4, 35.0000000000
 7, 1,  8,  5, 35.0000000000
 7, 1,  8,  6, 35.0000000000
 7, 1,  8,  7, 38.0000000000
 7, 1,  8,  8, 40.0000000000
 7, 1,  9,  0, 35.0000000000
 7, 1,  9,  1, 35.0000000000
 7, 1,  9,  2, 35.0000000000
 7, 1,  9,  3, 35.0000000000
 7, 1,  9,  4, 35.0000000000
 7, 1,  9,  5, 35.0000000000
 7, 1,  9,  6, 35.0000000000
 7, 1,  9,  7, 38.0000000000
 7, 1,  9,  8, 40.0000000000
 7, 2,  0,  0, 27.0000000000
 7, 2,  0,  1, 27.0000000000
 7, 2,  0,  2, 27.0000000000
 7, 2,  0,  3, 27.0000000000
 7, 2,  0,  4, 27.0000000000
 7, 2,  0,  5, 27.0000000000
 7, 2,  0,  6, 27.0000000000
 7, 2,  0,  7, 28.0000000000
 7, 2,  0,  8, 29.0000000000
 7, 2,  1,  0, 27.0000000000
 7, 2,  1,  1, 27.0000000000
 7, 2,  1,  2, 27.0000000000
 7, 2,  1,  3, 27.0000000000
 7, 2,  1,  4, 27.0000000000
 7, 2,  1,  5, 27.0000000000
 7, 2,  1,  6, 27.0000000000
 7, 2,  1,  7, 28.0000000000
 7, 2,  1,  8, 29.0000000000
 7, 2,  2,  0, 27.0000000000
 7, 2,  2,  1, 27.0000000000
 7, 2,  2,  2, 27.0000000000
 7, 2,  2,  3, 27.0000000000
 7, 2,  2,  4, 27.0000000000
 7, 2,  2,  5, 27.0000000000
 7, 2,  2,  6, 27.0000000000
 7, 2,  2,  7, 28.0000000000
 7, 2,  2,  8, 29.0000000000
 7, 2,  3,  0, 27.0000000000
 7, 2,  3,  1, 27.0000000000
 7, 2,  3,  2, 27.0000000000
 7, 2,  3,  3, 27.0000000000
 7, 2,  3,  4, 27.0000000000
 7, 2,  3,  5, 27.0000000000
 7, 2,  3,  6, 27.0000000000
 7, 2,  3,  7, 28.0000000000
 7, 2,  3,  8, 29.0000000000
 7, 2,  4,  0, 27.0000000000
 7, 2,  4,  1, 27.0000000000
 7, 2,  4,  2, 27.0000000000
 7, 2,  4,  3, 27.0000000000
 7, 2,  4,  4, 27.0000000000
 7, 2,  4,  5, 27.0000000000
 7, 2,  4,  6, 27.0000000000
 7, 2,  4,  7, 28.0000000000
 7, 2,  4,  8, 29.0000000000
 7, 2,  5,  0, 27.0000000000
 7, 2,  5,  1, 27.0000000000
 7, 2,  5,  2, 27.0000000000
 7, 2,  5,  3, 27.0000000000
 7, 2,  5,  4, 27.0000000000
 7, 2,  5,  5, 27.0000000000
 7, 2,  5,  6, 27.0000000000
 7, 2,  5,  7, 28.0000000000
 7, 2,  5,  8, 29.0000000000
 7, 2,  6,  0, 27.0000000000
 7, 2,  6,  1, 27.0000000000
 7, 2,  6,  2, 27.0000000000
 7, 2,  6,  3, 27.0000000000
 7, 2,  6,  4, 27.0000000000
 7, 2,  6,  5, 27.0000000000
 7, 2,  6,  6, 27.0000000000
 7, 2,  6,  7, 28.0000000000
 7, 2,  6,  8, 29.0000000000
 7, 2,  7,  0, 27.0000000000
 7, 2,  7,  1, 27.0000000000
 7, 2,  7,  2, 27.0000000000
